"Relative Time (Process)","qwen3vl_sft_full_bs64_es50_p4 - system/gpu.0.memoryAllocated","qwen3vl_sft_full_bs64_es50_p4 - system/gpu.0.memoryAllocated__MIN","qwen3vl_sft_full_bs64_es50_p4 - system/gpu.0.memoryAllocated__MAX"
"16.203671464","13.891937125271275","13.891937125271275","13.891937125271275"
"31.183220372","13.891937125271275","13.891937125271275","13.891937125271275"
"46.183150751","13.891937125271275","13.891937125271275","13.891937125271275"
"61.183593089","13.89438933778001","13.89438933778001","13.89438933778001"
"76.182955355","16.964559398717494","16.964559398717494","16.964559398717494"
"91.182911576","17.63156120109369","17.63156120109369","17.63156120109369"
"106.182895857","28.220214813815765","28.220214813815765","28.220214813815765"
"121.183430487","53.558926666584924","53.558926666584924","53.558926666584924"
"136.183636534","55.351494010470944","55.351494010470944","55.351494010470944"
"151.184552425","55.351494010470944","55.351494010470944","55.351494010470944"
"166.183252815","55.351494010470944","55.351494010470944","55.351494010470944"
"181.183649156","55.351494010470944","55.351494010470944","55.351494010470944"
"196.182931738","55.351494010470944","55.351494010470944","55.351494010470944"
"211.183630727","55.351494010470944","55.351494010470944","55.351494010470944"
"226.183637579","55.351494010470944","55.351494010470944","55.351494010470944"
"241.18312791","55.351494010470944","55.351494010470944","55.351494010470944"
"256.183481562","55.351494010470944","55.351494010470944","55.351494010470944"
"271.183206295","55.351494010470944","55.351494010470944","55.351494010470944"
"286.18293034","55.351494010470944","55.351494010470944","55.351494010470944"
"301.182886482","55.35394622297969","55.35394622297969","55.35394622297969"
"316.185049411","55.36130286050589","55.36130286050589","55.36130286050589"
"331.183715004","77.96089334101694","77.96089334101694","77.96089334101694"
"346.183805525","22.05044814183597","22.05044814183597","22.05044814183597"
"361.183172901","31.41789992520752","31.41789992520752","31.41789992520752"
"376.183737812","41.64362608663667","41.64362608663667","41.64362608663667"
"391.183796869","52.90909035176988","52.90909035176988","52.90909035176988"
"406.183659167","57.05332949153373","57.05332949153373","57.05332949153373"
"421.18293009","57.05332949153373","57.05332949153373","57.05332949153373"
"436.183392683","57.05332949153373","57.05332949153373","57.05332949153373"
"451.183125462","57.05332949153373","57.05332949153373","57.05332949153373"
"466.182958969","57.05332949153373","57.05332949153373","57.05332949153373"
"481.183819516","57.05332949153373","57.05332949153373","57.05332949153373"
"496.184499154","57.05332949153373","57.05332949153373","57.05332949153373"
"511.183281691","57.05332949153373","57.05332949153373","57.05332949153373"
"526.183118286","57.05332949153373","57.05332949153373","57.05332949153373"
"541.183760133","57.05332949153373","57.05332949153373","57.05332949153373"
"556.184829317","57.05332949153373","57.05332949153373","57.05332949153373"
"571.183779419","57.05332949153373","57.05332949153373","57.05332949153373"
"586.183146896","57.05332949153373","57.05332949153373","57.05332949153373"
"601.183498915","57.05332949153373","57.05332949153373","57.05332949153373"
"616.184831175","77.16392427567773","77.16392427567773","77.16392427567773"
"631.183398209","77.88977917826358","77.88977917826358","77.88977917826358"
"646.184661849","76.76176142424502","76.76176142424502","76.76176142424502"
"661.18343158","78.15952255422455","78.15952255422455","78.15952255422455"
"676.182833656","41.59458183646195","41.59458183646195","41.59458183646195"
"691.183281332","54.13519660613789","54.13519660613789","54.13519660613789"
"706.183420741","54.184240856312606","54.184240856312606","54.184240856312606"
"721.183504475","54.184240856312606","54.184240856312606","54.184240856312606"
"736.18361722","55.43486923576797","55.43486923576797","55.43486923576797"
"751.183843194","55.43486923576797","55.43486923576797","55.43486923576797"
"766.182964321","55.43486923576797","55.43486923576797","55.43486923576797"
"781.18298167","55.43486923576797","55.43486923576797","55.43486923576797"
"796.183644683","55.43486923576797","55.43486923576797","55.43486923576797"
"811.184930242","55.43486923576797","55.43486923576797","55.43486923576797"
"826.18476812","55.459391360855335","55.459391360855335","55.459391360855335"
"841.18293609","55.459391360855335","55.459391360855335","55.459391360855335"
"856.184421897","55.459391360855335","55.459391360855335","55.459391360855335"
"871.184275889","55.459391360855335","55.459391360855335","55.459391360855335"
"886.182791733","55.459391360855335","55.459391360855335","55.459391360855335"
"901.184237928","33.50718498265059","33.50718498265059","33.50718498265059"
"916.183776496","77.82111722801898","77.82111722801898","77.82111722801898"
"931.184584093","70.0721257004132","70.0721257004132","70.0721257004132"
"946.184555177","76.96284284996138","76.96284284996138","76.96284284996138"
"961.183012515","53.191094790274526","53.191094790274526","53.191094790274526"
"976.183192576","54.62563910788509","54.62563910788509","54.62563910788509"
"991.183031909","54.62563910788509","54.62563910788509","54.62563910788509"
"1006.183262479","54.62563910788509","54.62563910788509","54.62563910788509"
"1021.184205703","54.62563910788509","54.62563910788509","54.62563910788509"
"1036.18431438","55.263214360156454","55.263214360156454","55.263214360156454"
"1051.184132241","56.19505511347613","56.19505511347613","56.19505511347613"
"1066.184750805","56.19505511347613","56.19505511347613","56.19505511347613"
"1081.184672305","56.19505511347613","56.19505511347613","56.19505511347613"
"1096.183285654","56.19505511347613","56.19505511347613","56.19505511347613"
"1111.184663722","56.19505511347613","56.19505511347613","56.19505511347613"
"1126.183176364","56.19505511347613","56.19505511347613","56.19505511347613"
"1141.185065988","56.19505511347613","56.19505511347613","56.19505511347613"
"1156.183770248","56.19505511347613","56.19505511347613","56.19505511347613"
"1171.182881019","77.21296852585246","77.21296852585246","77.21296852585246"
"1186.182910862","78.1619747667333","78.1619747667333","78.1619747667333"
"1201.183360882","78.1619747667333","78.1619747667333","78.1619747667333"
"1216.183319995","33.50718498265059","33.50718498265059","33.50718498265059"
"1231.183578796","77.76962076533552","77.76962076533552","77.76962076533552"
"1246.183309272","41.7956632621783","41.7956632621783","41.7956632621783"
"1261.183812411","56.712471952819435","56.712471952819435","56.712471952819435"
"1276.182930937","56.712471952819435","56.712471952819435","56.712471952819435"
"1291.185199342","56.712471952819435","56.712471952819435","56.712471952819435"
"1306.182920025","56.712471952819435","56.712471952819435","56.712471952819435"
"1321.184744543","56.712471952819435","56.712471952819435","56.712471952819435"
"1336.183568837","56.712471952819435","56.712471952819435","56.712471952819435"
"1351.182913217","56.712471952819435","56.712471952819435","56.712471952819435"
