"train/global_step","qwen3vl_rl - _step","qwen3vl_rl - _step__MIN","qwen3vl_rl - _step__MAX","qwen3vl_rl - train/rewards/combined_reward/std","qwen3vl_rl - train/rewards/combined_reward/std__MIN","qwen3vl_rl - train/rewards/combined_reward/std__MAX"
"1","4","4","4","0.11547005921602249","0.11547005921602249","0.11547005921602249"
"2","9","9","9","0.02134374901652336","0.02134374901652336","0.02134374901652336"
"3","14","14","14","0.03464101627469063","0.03464101627469063","0.03464101627469063"
"4","19","19","19","0.5999999642372131","0.5999999642372131","0.5999999642372131"
"5","24","24","24","0","0","0"
"6","29","29","29","0.01936408318579197","0.01936408318579197","0.01936408318579197"
"7","34","34","34","0.03247595205903053","0.03247595205903053","0.03247595205903053"
"8","39","39","39","0.06336137652397156","0.06336137652397156","0.06336137652397156"
"9","44","44","44","0.029999999329447746","0.029999999329447746","0.029999999329447746"
"10","49","49","49","0.5773502588272095","0.5773502588272095","0.5773502588272095"
"11","54","54","54","0.018355606123805046","0.018355606123805046","0.018355606123805046"
"12","59","59","59","0.002165063749998808","0.002165063749998808","0.002165063749998808"
"13","64","64","64","0.018570417538285255","0.018570417538285255","0.018570417538285255"
"14","69","69","69","0.485103577375412","0.485103577375412","0.485103577375412"
"15","74","74","74","0.026111647486686707","0.026111647486686707","0.026111647486686707"
"16","79","79","79","0.03035714477300644","0.03035714477300644","0.03035714477300644"
"17","84","84","84","0.013989481143653393","0.013989481143653393","0.013989481143653393"
"18","89","89","89","0.14075219631195068","0.14075219631195068","0.14075219631195068"
"19","94","94","94","0.1500673145055771","0.1500673145055771","0.1500673145055771"
"20","99","99","99","0.5773502588272095","0.5773502588272095","0.5773502588272095"
"21","104","104","104","0.017902562394738197","0.017902562394738197","0.017902562394738197"
"22","109","109","109","0.010294541716575623","0.010294541716575623","0.010294541716575623"
"23","114","114","114","0.05560320243239403","0.05560320243239403","0.05560320243239403"
"24","119","119","119","0.01717960834503174","0.01717960834503174","0.01717960834503174"
"25","124","124","124","0.5999999642372131","0.5999999642372131","0.5999999642372131"
"26","129","129","129","0.03162216767668724","0.03162216767668724","0.03162216767668724"
"27","134","134","134","0.6928203105926514","0.6928203105926514","0.6928203105926514"
"28","139","139","139","0.009866628795862198","0.009866628795862198","0.009866628795862198"
"29","144","144","144","0.5364439487457275","0.5364439487457275","0.5364439487457275"
"30","149","149","149","0.04330126941204071","0.04330126941204071","0.04330126941204071"
"31","154","154","154","0.016535107046365738","0.016535107046365738","0.016535107046365738"
"32","159","159","159","0.5277625918388367","0.5277625918388367","0.5277625918388367"
"33","164","164","164","0.1374368518590927","0.1374368518590927","0.1374368518590927"
"34","169","169","169","0.15758496522903442","0.15758496522903442","0.15758496522903442"
"35","174","174","174","0.7071067690849304","0.7071067690849304","0.7071067690849304"
