"train/global_step","qwen3vl_rl - _step","qwen3vl_rl - _step__MIN","qwen3vl_rl - _step__MAX","qwen3vl_rl - train/reward_std","qwen3vl_rl - train/reward_std__MIN","qwen3vl_rl - train/reward_std__MAX"
"1","4","4","4","0","0","0"
"2","9","9","9","0.01649915985763073","0.01649915985763073","0.01649915985763073"
"3","14","14","14","0","0","0"
"4","19","19","19","0.4242640733718872","0.4242640733718872","0.4242640733718872"
"5","24","24","24","0","0","0"
"6","29","29","29","0.0013135118642821908","0.0013135118642821908","0.0013135118642821908"
"7","34","34","34","0","0","0"
"8","39","39","39","0","0","0"
"9","44","44","44","0.02121320366859436","0.02121320366859436","0.02121320366859436"
"10","49","49","49","0","0","0"
"11","54","54","54","0.014428097754716873","0.014428097754716873","0.014428097754716873"
"12","59","59","59","0","0","0"
"13","64","64","64","0.018973208963871002","0.018973208963871002","0.018973208963871002"
"14","69","69","69","0.3535533845424652","0.3535533845424652","0.3535533845424652"
"15","74","74","74","0.009642365388572216","0.009642365388572216","0.009642365388572216"
"16","79","79","79","0.013889599591493607","0.013889599591493607","0.013889599591493607"
"17","84","84","84","0.00203973101451993","0.00203973101451993","0.00203973101451993"
"18","89","89","89","0.00168805371504277","0.00168805371504277","0.00168805371504277"
"19","94","94","94","0.011364216916263103","0.011364216916263103","0.011364216916263103"
"20","99","99","99","0","0","0"
"21","104","104","104","0.011438490822911263","0.011438490822911263","0.011438490822911263"
"22","109","109","109","0.0036477732937783003","0.0036477732937783003","0.0036477732937783003"
"23","114","114","114","0.0027196411974728107","0.0027196411974728107","0.0027196411974728107"
"24","119","119","119","0.002946278778836131","0.002946278778836131","0.002946278778836131"
"25","124","124","124","0.4242640733718872","0.4242640733718872","0.4242640733718872"
"26","129","129","129","0.001756787416525185","0.001756787416525185","0.001756787416525185"
"27","134","134","134","0","0","0"
"28","139","139","139","0.005450032651424408","0.005450032651424408","0.005450032651424408"
"29","144","144","144","0.4242640733718872","0.4242640733718872","0.4242640733718872"
"30","149","149","149","0","0","0"
"31","154","154","154","0.007479014340788126","0.007479014340788126","0.007479014340788126"
"32","159","159","159","0.4242640733718872","0.4242640733718872","0.4242640733718872"
"33","164","164","164","0.0235702283680439","0.0235702283680439","0.0235702283680439"
"34","169","169","169","0.0043418812565505505","0.0043418812565505505","0.0043418812565505505"
"35","174","174","174","0.3535533845424652","0.3535533845424652","0.3535533845424652"
