"train/global_step","qwen3vl_rl - _step","qwen3vl_rl - _step__MIN","qwen3vl_rl - _step__MAX","qwen3vl_rl - train/loss","qwen3vl_rl - train/loss__MIN","qwen3vl_rl - train/loss__MAX"
"145","724","724","724","0.0007","0.0007","0.0007"
"146","729","729","729","-0.0044","-0.0044","-0.0044"
"147","734","734","734","-0.0006","-0.0006","-0.0006"
"148","739","739","739","0.0014","0.0014","0.0014"
"149","744","744","744","0.0017","0.0017","0.0017"
"150","749","749","749","0","0","0"
"151","754","754","754","0","0","0"
"152","759","759","759","-0.0003","-0.0003","-0.0003"
"153","764","764","764","0.0007","0.0007","0.0007"
"154","769","769","769","0","0","0"
"155","774","774","774","0","0","0"
"156","779","779","779","0","0","0"
"157","784","784","784","-0.0024","-0.0024","-0.0024"
"158","789","789","789","0.0024","0.0024","0.0024"
"159","794","794","794","0","0","0"
"160","799","799","799","-0.0031","-0.0031","-0.0031"
"161","804","804","804","0.0024","0.0024","0.0024"
"162","809","809","809","0","0","0"
"163","814","814","814","-0.0003","-0.0003","-0.0003"
"164","819","819","819","0.0017","0.0017","0.0017"
"165","824","824","824","0","0","0"
"166","829","829","829","0","0","0"
"167","834","834","834","0","0","0"
"168","839","839","839","0.0004","0.0004","0.0004"
"169","844","844","844","-0.0006","-0.0006","-0.0006"
"170","849","849","849","0.0004","0.0004","0.0004"
"171","854","854","854","0","0","0"
"172","859","859","859","-0.0003","-0.0003","-0.0003"
"173","864","864","864","-0.002","-0.002","-0.002"
"174","869","869","869","-0.0013","-0.0013","-0.0013"
"175","874","874","874","0.0028","0.0028","0.0028"
"176","879","879","879","0","0","0"
"177","884","884","884","0","0","0"
"178","889","889","889","0","0","0"
"179","894","894","894","0","0","0"
"180","899","899","899","0.0004","0.0004","0.0004"
"181","904","904","904","0","0","0"
"182","909","909","909","-0.0013","-0.0013","-0.0013"
"183","914","914","914","-0.0003","-0.0003","-0.0003"
"184","919","919","919","0.0007","0.0007","0.0007"
"185","924","924","924","-0.0017","-0.0017","-0.0017"
"186","929","929","929","0","0","0"
"187","934","934","934","0","0","0"
"188","939","939","939","0.0011","0.0011","0.0011"
"189","944","944","944","0","0","0"
"190","949","949","949","0","0","0"
"191","954","954","954","0.0021","0.0021","0.0021"
"192","959","959","959","-0.0017","-0.0017","-0.0017"
"193","964","964","964","0","0","0"
"194","969","969","969","-0.001","-0.001","-0.001"
"195","974","974","974","-0.0017","-0.0017","-0.0017"
"196","979","979","979","0","0","0"
"197","984","984","984","0.0017","0.0017","0.0017"
"198","989","989","989","0.0004","0.0004","0.0004"
"199","994","994","994","0.0041","0.0041","0.0041"
"200","999","999","999","0","0","0"
"201","1004","1004","1004","0.0007","0.0007","0.0007"
"202","1009","1009","1009","0","0","0"
"203","1014","1014","1014","-0.0031","-0.0031","-0.0031"
"204","1019","1019","1019","0","0","0"
"205","1024","1024","1024","0","0","0"
"206","1029","1029","1029","-0.0013","-0.0013","-0.0013"
"207","1034","1034","1034","0","0","0"
"208","1039","1039","1039","0","0","0"
"209","1044","1044","1044","0.0001","0.0001","0.0001"
"210","1049","1049","1049","-0.0071","-0.0071","-0.0071"
"211","1054","1054","1054","-0.0027","-0.0027","-0.0027"
"212","1059","1059","1059","-0.0065","-0.0065","-0.0065"
"213","1064","1064","1064","0.0004","0.0004","0.0004"
"214","1069","1069","1069","0.0014","0.0014","0.0014"
"215","1074","1074","1074","0","0","0"
"216","1079","1079","1079","0","0","0"
"217","1084","1084","1084","0.0004","0.0004","0.0004"
"218","1089","1089","1089","0","0","0"
"219","1094","1094","1094","-0.001","-0.001","-0.001"
"220","1099","1099","1099","0.0011","0.0011","0.0011"
"221","1104","1104","1104","-0.0013","-0.0013","-0.0013"
"222","1109","1109","1109","0","0","0"
"223","1114","1114","1114","-0.003","-0.003","-0.003"
"224","1119","1119","1119","-0.0007","-0.0007","-0.0007"
"225","1124","1124","1124","-0.0013","-0.0013","-0.0013"
"226","1129","1129","1129","0","0","0"
"227","1134","1134","1134","-0.0003","-0.0003","-0.0003"
"228","1139","1139","1139","0.0001","0.0001","0.0001"
"229","1144","1144","1144","0","0","0"
"230","1149","1149","1149","0.0001","0.0001","0.0001"
"231","1154","1154","1154","0.0007","0.0007","0.0007"
"232","1159","1159","1159","0.0018","0.0018","0.0018"
"233","1164","1164","1164","0.0011","0.0011","0.0011"
"234","1169","1169","1169","0.0011","0.0011","0.0011"
"235","1174","1174","1174","0.0004","0.0004","0.0004"
"236","1179","1179","1179","-0.0003","-0.0003","-0.0003"
"237","1184","1184","1184","-0.0007","-0.0007","-0.0007"
"238","1189","1189","1189","0.0004","0.0004","0.0004"
"239","1194","1194","1194","0","0","0"
"240","1199","1199","1199","0.0021","0.0021","0.0021"
"241","1204","1204","1204","0","0","0"
"242","1209","1209","1209","-0.0007","-0.0007","-0.0007"
"243","1214","1214","1214","-0.0013","-0.0013","-0.0013"
"244","1219","1219","1219","0","0","0"
"245","1224","1224","1224","0.0004","0.0004","0.0004"
"246","1229","1229","1229","0","0","0"
"247","1234","1234","1234","0.0015","0.0015","0.0015"
"248","1239","1239","1239","0","0","0"
"249","1244","1244","1244","-0.0027","-0.0027","-0.0027"
"250","1249","1249","1249","-0.0006","-0.0006","-0.0006"
"251","1254","1254","1254","-0.0045","-0.0045","-0.0045"
"252","1259","1259","1259","0.0001","0.0001","0.0001"
"253","1264","1264","1264","0","0","0"
"254","1269","1269","1269","0","0","0"
"255","1274","1274","1274","0","0","0"
