"train/global_step","qwen3vl_rl - _step","qwen3vl_rl - _step__MIN","qwen3vl_rl - _step__MAX","qwen3vl_rl - train/loss","qwen3vl_rl - train/loss__MIN","qwen3vl_rl - train/loss__MAX"
"575","2874","2874","2874","0.0011","0.0011","0.0011"
"576","2879","2879","2879","-0.002","-0.002","-0.002"
"577","2884","2884","2884","-0.0003","-0.0003","-0.0003"
"578","2889","2889","2889","-0.002","-0.002","-0.002"
"579","2894","2894","2894","0","0","0"
"580","2899","2899","2899","0","0","0"
"581","2904","2904","2904","0.0004","0.0004","0.0004"
"582","2909","2909","2909","0","0","0"
"583","2914","2914","2914","0","0","0"
"584","2919","2919","2919","0","0","0"
"585","2924","2924","2924","0.0007","0.0007","0.0007"
"586","2929","2929","2929","0","0","0"
"587","2934","2934","2934","0","0","0"
"588","2939","2939","2939","0.0007","0.0007","0.0007"
"589","2944","2944","2944","0","0","0"
"590","2949","2949","2949","0","0","0"
"591","2954","2954","2954","0","0","0"
"592","2959","2959","2959","0.0024","0.0024","0.0024"
"593","2964","2964","2964","0","0","0"
"594","2969","2969","2969","-0.0072","-0.0072","-0.0072"
"595","2974","2974","2974","0.0001","0.0001","0.0001"
"596","2979","2979","2979","-0.002","-0.002","-0.002"
"597","2984","2984","2984","-0.0013","-0.0013","-0.0013"
"598","2989","2989","2989","0.0007","0.0007","0.0007"
"599","2994","2994","2994","0.0017","0.0017","0.0017"
"600","2999","2999","2999","0","0","0"
"601","3004","3004","3004","-0.0006","-0.0006","-0.0006"
"602","3009","3009","3009","0","0","0"
"603","3014","3014","3014","-0.0013","-0.0013","-0.0013"
"604","3019","3019","3019","-0.0003","-0.0003","-0.0003"
"605","3024","3024","3024","0","0","0"
"606","3029","3029","3029","0.0038","0.0038","0.0038"
"607","3034","3034","3034","0.0011","0.0011","0.0011"
"608","3039","3039","3039","0.0003","0.0003","0.0003"
"609","3044","3044","3044","0","0","0"
"610","3049","3049","3049","0","0","0"
"611","3054","3054","3054","-0.0113","-0.0113","-0.0113"
"612","3059","3059","3059","0","0","0"
"613","3064","3064","3064","0","0","0"
"614","3069","3069","3069","0.0021","0.0021","0.0021"
"615","3074","3074","3074","0","0","0"
"616","3079","3079","3079","-0.0007","-0.0007","-0.0007"
"617","3084","3084","3084","0.0024","0.0024","0.0024"
"618","3089","3089","3089","0.0017","0.0017","0.0017"
"619","3094","3094","3094","0","0","0"
"620","3099","3099","3099","0.0028","0.0028","0.0028"
"621","3104","3104","3104","0.0014","0.0014","0.0014"
"622","3109","3109","3109","0","0","0"
"623","3114","3114","3114","0","0","0"
"624","3119","3119","3119","0","0","0"
"625","3124","3124","3124","0","0","0"
"626","3129","3129","3129","0","0","0"
"627","3134","3134","3134","0.0004","0.0004","0.0004"
"628","3139","3139","3139","-0.0027","-0.0027","-0.0027"
"629","3144","3144","3144","-0.0003","-0.0003","-0.0003"
"630","3149","3149","3149","0.0021","0.0021","0.0021"
"631","3154","3154","3154","0","0","0"
"632","3159","3159","3159","-0.0003","-0.0003","-0.0003"
"633","3164","3164","3164","0","0","0"
"634","3169","3169","3169","0","0","0"
"635","3174","3174","3174","-0.001","-0.001","-0.001"
"636","3179","3179","3179","0","0","0"
"637","3184","3184","3184","0.0004","0.0004","0.0004"
"638","3189","3189","3189","0","0","0"
"639","3194","3194","3194","0.0088","0.0088","0.0088"
"640","3199","3199","3199","0","0","0"
"641","3204","3204","3204","0","0","0"
"642","3209","3209","3209","-0.0017","-0.0017","-0.0017"
"643","3214","3214","3214","0","0","0"
"644","3219","3219","3219","0","0","0"
"645","3224","3224","3224","-0.0045","-0.0045","-0.0045"
"646","3229","3229","3229","-0.0045","-0.0045","-0.0045"
"647","3234","3234","3234","0","0","0"
"648","3239","3239","3239","0","0","0"
"649","3244","3244","3244","0.0007","0.0007","0.0007"
"650","3249","3249","3249","0.002","0.002","0.002"
"651","3254","3254","3254","0.0011","0.0011","0.0011"
"652","3259","3259","3259","-0.0003","-0.0003","-0.0003"
"653","3264","3264","3264","0.0004","0.0004","0.0004"
"654","3269","3269","3269","0","0","0"
"655","3274","3274","3274","0.0007","0.0007","0.0007"
"656","3279","3279","3279","0","0","0"
"657","3284","3284","3284","-0.0024","-0.0024","-0.0024"
"658","3289","3289","3289","0","0","0"
"659","3294","3294","3294","-0.0003","-0.0003","-0.0003"
"660","3299","3299","3299","-0.003","-0.003","-0.003"
"661","3304","3304","3304","0","0","0"
"662","3309","3309","3309","0","0","0"
"663","3314","3314","3314","0.001","0.001","0.001"
"664","3319","3319","3319","0.0021","0.0021","0.0021"
"665","3324","3324","3324","0","0","0"
"666","3329","3329","3329","0","0","0"
"667","3334","3334","3334","0.0011","0.0011","0.0011"
"668","3339","3339","3339","0","0","0"
"669","3344","3344","3344","0.0007","0.0007","0.0007"
"670","3349","3349","3349","0","0","0"
"671","3354","3354","3354","0.0021","0.0021","0.0021"
"672","3359","3359","3359","-0.003","-0.003","-0.003"
"673","3364","3364","3364","-0.002","-0.002","-0.002"
"674","3369","3369","3369","0","0","0"
"675","3374","3374","3374","0.0004","0.0004","0.0004"
"676","3379","3379","3379","0.0007","0.0007","0.0007"
"677","3384","3384","3384","0","0","0"
"678","3389","3389","3389","0.0004","0.0004","0.0004"
"679","3394","3394","3394","0","0","0"
"680","3399","3399","3399","0","0","0"
"681","3404","3404","3404","-0.0017","-0.0017","-0.0017"
"682","3409","3409","3409","0","0","0"
"683","3414","3414","3414","0","0","0"
"684","3419","3419","3419","0.0004","0.0004","0.0004"
"685","3424","3424","3424","0.0007","0.0007","0.0007"
"686","3429","3429","3429","0.0001","0.0001","0.0001"
"687","3434","3434","3434","-0.002","-0.002","-0.002"
"688","3439","3439","3439","0","0","0"
"689","3444","3444","3444","-0.0013","-0.0013","-0.0013"
"690","3449","3449","3449","0","0","0"
"691","3454","3454","3454","0.001","0.001","0.001"
"692","3459","3459","3459","0.0042","0.0042","0.0042"
"693","3464","3464","3464","-0.0007","-0.0007","-0.0007"
"694","3469","3469","3469","0.0011","0.0011","0.0011"
"695","3474","3474","3474","0.0007","0.0007","0.0007"
"696","3479","3479","3479","0","0","0"
"697","3484","3484","3484","0.0024","0.0024","0.0024"
"698","3489","3489","3489","-0.0034","-0.0034","-0.0034"
"699","3494","3494","3494","-0.0019","-0.0019","-0.0019"
"700","3499","3499","3499","0","0","0"
"701","3504","3504","3504","0","0","0"
"702","3509","3509","3509","0","0","0"
"703","3514","3514","3514","-0.0007","-0.0007","-0.0007"
"704","3519","3519","3519","0.0004","0.0004","0.0004"
"705","3524","3524","3524","-0.0037","-0.0037","-0.0037"
"706","3529","3529","3529","0","0","0"
"707","3534","3534","3534","-0.001","-0.001","-0.001"
"708","3539","3539","3539","0","0","0"
"709","3544","3544","3544","0.0025","0.0025","0.0025"
"710","3549","3549","3549","0","0","0"
"711","3554","3554","3554","0.0004","0.0004","0.0004"
"712","3559","3559","3559","0","0","0"
"713","3564","3564","3564","0.0004","0.0004","0.0004"
"714","3569","3569","3569","0.0024","0.0024","0.0024"
