"Relative Time (Process)","qwen3vl_rl - system/gpu.0.memoryAllocated","qwen3vl_rl - system/gpu.0.memoryAllocated__MIN","qwen3vl_rl - system/gpu.0.memoryAllocated__MAX"
"15.487594238","13.00431282874974","13.00431282874974","13.00431282874974"
"30.487787114","18.35994494782918","18.35994494782918","18.35994494782918"
"45.487431734","18.511982123370814","18.511982123370814","18.511982123370814"
"60.488859497","19.730731740212608","19.730731740212608","19.730731740212608"
"75.487197558","22.800901801150086","22.800901801150086","22.800901801150086"
"90.487839403","22.803354013658826","22.803354013658826","22.803354013658826"
"105.487526702","21.775876972498438","21.775876972498438","21.775876972498438"
"120.489025377","26.695015265022864","26.695015265022864","26.695015265022864"
"135.48782832","32.13402260939933","32.13402260939933","32.13402260939933"
"150.487643612","32.13647482190807","32.13647482190807","32.13647482190807"
"165.487632142","32.13647482190807","32.13647482190807","32.13647482190807"
"180.48795799","32.381696072781665","32.381696072781665","32.381696072781665"
"195.487458525","32.38905271030787","32.38905271030787","32.38905271030787"
"210.487673179","32.38905271030787","32.38905271030787","32.38905271030787"
"225.487836505","32.38905271030787","32.38905271030787","32.38905271030787"
"240.488215428","34.91483159430596","34.91483159430596","34.91483159430596"
"255.487163819","34.917283806814694","34.917283806814694","34.917283806814694"
"270.4872081","34.917283806814694","34.917283806814694","34.917283806814694"
"285.487941334","34.917283806814694","34.917283806814694","34.917283806814694"
"300.48739983","34.917283806814694","34.917283806814694","34.917283806814694"
"315.487837473","34.91973601932343","34.91973601932343","34.91973601932343"
"330.48796974","34.91973601932343","34.91973601932343","34.91973601932343"
"345.487590511","34.91973601932343","34.91973601932343","34.91973601932343"
"360.487834467","34.91973601932343","34.91973601932343","34.91973601932343"
"375.487790266","34.91973601932343","34.91973601932343","34.91973601932343"
"390.487282643","34.91973601932343","34.91973601932343","34.91973601932343"
"405.487462485","34.91973601932343","34.91973601932343","34.91973601932343"
"420.489010069","34.91973601932343","34.91973601932343","34.91973601932343"
